,jpg_name,dmap_name
0,1050.jpg,1050.npy
1,1053.jpg,1053.npy
2,1061.jpg,1061.npy
3,1074.jpg,1074.npy
4,1077.jpg,1077.npy
5,1084.jpg,1084.npy
6,1085.jpg,1085.npy
7,1087.jpg,1087.npy
8,1106.jpg,1106.npy
9,1123.jpg,1123.npy
10,1130.jpg,1130.npy
11,1246.jpg,1246.npy
12,1282.jpg,1282.npy
13,1306.jpg,1306.npy
14,1325.jpg,1325.npy
15,1328.jpg,1328.npy
16,1386.jpg,1386.npy
17,1391.jpg,1391.npy
18,1397.jpg,1397.npy
19,1455.jpg,1455.npy
20,1456.jpg,1456.npy
21,1458.jpg,1458.npy
22,1461.jpg,1461.npy
23,1462.jpg,1462.npy
24,1463.jpg,1463.npy
25,1464.jpg,1464.npy
26,1467.jpg,1467.npy
27,1493.jpg,1493.npy
28,1497.jpg,1497.npy
29,1509.jpg,1509.npy
30,1537.jpg,1537.npy
31,1572.jpg,1572.npy
32,1625.jpg,1625.npy
33,1636.jpg,1636.npy
34,1668.jpg,1668.npy
35,1762.jpg,1762.npy
36,1768.jpg,1768.npy
37,1772.jpg,1772.npy
38,1861.jpg,1861.npy
39,1863.jpg,1863.npy
40,1864.jpg,1864.npy
41,1866.jpg,1866.npy
42,1867.jpg,1867.npy
43,1868.jpg,1868.npy
44,187.jpg,187.npy
45,1872.jpg,1872.npy
46,1873.jpg,1873.npy
47,1874.jpg,1874.npy
48,1875.jpg,1875.npy
49,188.jpg,188.npy
50,1881.jpg,1881.npy
51,1884.jpg,1884.npy
52,1886.jpg,1886.npy
53,1887.jpg,1887.npy
54,1888.jpg,1888.npy
55,1889.jpg,1889.npy
56,189.jpg,189.npy
57,1890.jpg,1890.npy
58,1891.jpg,1891.npy
59,1892.jpg,1892.npy
60,1894.jpg,1894.npy
61,1895.jpg,1895.npy
62,1896.jpg,1896.npy
63,1897.jpg,1897.npy
64,1898.jpg,1898.npy
65,1899.jpg,1899.npy
66,19.jpg,19.npy
67,190.jpg,190.npy
68,1900.jpg,1900.npy
69,1901.jpg,1901.npy
70,1902.jpg,1902.npy
71,1903.jpg,1903.npy
72,1906.jpg,1906.npy
73,1907.jpg,1907.npy
74,191.jpg,191.npy
75,1910.jpg,1910.npy
76,1911.jpg,1911.npy
77,1912.jpg,1912.npy
78,1913.jpg,1913.npy
79,1915.jpg,1915.npy
80,1916.jpg,1916.npy
81,1917.jpg,1917.npy
82,1918.jpg,1918.npy
83,1919.jpg,1919.npy
84,192.jpg,192.npy
85,1920.jpg,1920.npy
86,1921.jpg,1921.npy
87,1922.jpg,1922.npy
88,1924.jpg,1924.npy
89,1925.jpg,1925.npy
90,1927.jpg,1927.npy
91,1928.jpg,1928.npy
92,1929.jpg,1929.npy
93,1930.jpg,1930.npy
94,1931.jpg,1931.npy
95,1933.jpg,1933.npy
96,1934.jpg,1934.npy
97,1935.jpg,1935.npy
98,1936.jpg,1936.npy
99,1937.jpg,1937.npy
100,1938.jpg,1938.npy
101,1939.jpg,1939.npy
102,194.jpg,194.npy
103,1942.jpg,1942.npy
104,1943.jpg,1943.npy
105,1944.jpg,1944.npy
106,1945.jpg,1945.npy
107,1946.jpg,1946.npy
108,1947.jpg,1947.npy
109,1948.jpg,1948.npy
110,1949.jpg,1949.npy
111,195.jpg,195.npy
112,1950.jpg,1950.npy
113,1951.jpg,1951.npy
114,1952.jpg,1952.npy
115,1955.jpg,1955.npy
116,1956.jpg,1956.npy
117,1957.jpg,1957.npy
118,1958.jpg,1958.npy
119,1959.jpg,1959.npy
120,196.jpg,196.npy
121,1960.jpg,1960.npy
122,1961.jpg,1961.npy
123,1962.jpg,1962.npy
124,1964.jpg,1964.npy
125,1965.jpg,1965.npy
126,1966.jpg,1966.npy
127,1967.jpg,1967.npy
128,1968.jpg,1968.npy
129,1969.jpg,1969.npy
130,197.jpg,197.npy
131,1971.jpg,1971.npy
132,1972.jpg,1972.npy
133,1973.jpg,1973.npy
134,1976.jpg,1976.npy
135,1977.jpg,1977.npy
136,1978.jpg,1978.npy
137,1979.jpg,1979.npy
138,198.jpg,198.npy
139,1981.jpg,1981.npy
140,1982.jpg,1982.npy
141,1983.jpg,1983.npy
142,1984.jpg,1984.npy
143,1986.jpg,1986.npy
144,1987.jpg,1987.npy
145,1988.jpg,1988.npy
146,1989.jpg,1989.npy
147,199.jpg,199.npy
148,1990.jpg,1990.npy
149,1991.jpg,1991.npy
150,1992.jpg,1992.npy
151,1993.jpg,1993.npy
152,1994.jpg,1994.npy
153,1996.jpg,1996.npy
154,1997.jpg,1997.npy
155,1999.jpg,1999.npy
156,2.jpg,2.npy
157,20.jpg,20.npy
158,200.jpg,200.npy
159,2000.jpg,2000.npy
160,2001.jpg,2001.npy
161,2003.jpg,2003.npy
162,2004.jpg,2004.npy
163,2005.jpg,2005.npy
164,2007.jpg,2007.npy
165,2008.jpg,2008.npy
166,2009.jpg,2009.npy
167,201.jpg,201.npy
168,2010.jpg,2010.npy
169,2011.jpg,2011.npy
170,2012.jpg,2012.npy
171,2013.jpg,2013.npy
172,2014.jpg,2014.npy
173,2015.jpg,2015.npy
174,2016.jpg,2016.npy
175,2017.jpg,2017.npy
176,2018.jpg,2018.npy
177,2019.jpg,2019.npy
178,202.jpg,202.npy
179,2020.jpg,2020.npy
180,2021.jpg,2021.npy
181,2025.jpg,2025.npy
182,2026.jpg,2026.npy
183,2027.jpg,2027.npy
184,2028.jpg,2028.npy
185,2029.jpg,2029.npy
186,2030.jpg,2030.npy
187,2031.jpg,2031.npy
188,2032.jpg,2032.npy
189,2033.jpg,2033.npy
190,2035.jpg,2035.npy
191,2036.jpg,2036.npy
192,2037.jpg,2037.npy
193,2038.jpg,2038.npy
194,2039.jpg,2039.npy
195,204.jpg,204.npy
196,2040.jpg,2040.npy
197,2041.jpg,2041.npy
198,2042.jpg,2042.npy
199,2043.jpg,2043.npy
200,2044.jpg,2044.npy
201,2045.jpg,2045.npy
202,2046.jpg,2046.npy
203,2047.jpg,2047.npy
204,2048.jpg,2048.npy
205,2049.jpg,2049.npy
206,205.jpg,205.npy
207,2051.jpg,2051.npy
208,2052.jpg,2052.npy
209,2053.jpg,2053.npy
